Model,R_squared,Adj_R_squared,MSP_Coef,MSP_pvalue
Simple OLS,0.9280353073135016,0.9249064076314799,0.025843232268911952,1.2249293695820756e-14
Log-Log,0.9271187540851114,0.9239500042627249,0.34927323381360775,1.4174735664081267e-14
Multiple (with Year),0.930499495118052,0.9241812674015113,0.017227384782652847,0.09490145259473885
