year,point_forecast,lower_80,upper_80,lower_95,upper_95
2025,114.6951409791003,108.6508783098315,120.7394036483691,105.45123892836031,123.93904302984029
2026,116.64248679244898,109.61376314619869,123.67121043869926,105.8929816033375,127.39199198156045
2027,118.36863015132244,109.9760729755728,126.76118732707207,105.53332157310511,131.20393872953974
2028,120.18468547493146,110.80871603132513,129.56065491853778,105.84537762054386,134.52399332931907
2029,121.9641943622824,111.63030983843746,132.29807888612734,106.15988181515138,137.76850690941342
